country	country_code	continent	population	indicator	weekly_count	year_week	rate_14_day	cumulative_count	source	note	meta_extracted_date
Gabon	GAB	Africa	2225728	cases	14.0	2022-20	0.629007677487995	47622	Epidemic intelligence national data		2022-05-29
Gabon	GAB	Africa	2225728	deaths	0.0	2022-20	0.0	304	Epidemic intelligence national data		2022-05-29
Gambia	GMB	Africa	2416664	cases	3.0	2022-20	0.24827613602884	12002	Epidemic intelligence national data		2022-05-29
Gambia	GMB	Africa	2416664	deaths	0.0	2022-20	0.0	365	Epidemic intelligence national data		2022-05-29
Georgia	GEO	Europe	3989175	cases	0.0	2022-20	0.0	1655221	Epidemic intelligence national data		2022-05-29
Georgia	GEO	Europe	3989175	deaths	0.0	2022-20	0.0	16811	Epidemic intelligence national data		2022-05-29
Germany	DEU	Europe	83155031	cases	288598.0	2022-20	838.023859314056	26077382	TESSy COVID-19		2022-05-29
Germany	DEU	Europe	83155031	deaths	170.0	2022-20	6.56604890208026	138473	TESSy COVID-19		2022-05-29
Ghana	GHA	Africa	31072945	cases	71.0	2022-20	0.415152152459318	161351	Epidemic intelligence national data		2022-05-29
Ghana	GHA	Africa	31072945	deaths	0.0	2022-20	0.0	1445	Epidemic intelligence national data		2022-05-29
Gibraltar	GIB	Europe	33691	cases	144.0	2022-20	822.17802974088	18273	Epidemic intelligence national data		2022-05-29
Gibraltar	GIB	Europe	33691	deaths	0.0	2022-20	0.0	102	Epidemic intelligence national data		2022-05-29
Greece	GRC	Europe	10678632	cases	26824.0	2022-20	539.310653274689	3422137	TESSy COVID-19		2022-05-29
Greece	GRC	Europe	10678632	deaths	129.0	2022-20	26.1269421026963	29709	TESSy COVID-19		2022-05-29
Greenland	GRL	America	56772	cases	0.0	2022-20	0.0	11971	Epidemic intelligence national data		2022-05-29
Greenland	GRL	America	56772	deaths	0.0	2022-20	0.0	21	Epidemic intelligence national data		2022-05-29
Grenada	GRD	America	112519	cases	634.0	2022-20	1637.94559141123	17146	Epidemic intelligence national data		2022-05-29
Grenada	GRD	America	112519	deaths	2.0	2022-20	26.66216372346	223	Epidemic intelligence national data		2022-05-29
Guam	GUM	Oceania	168783	cases	205.0	2022-20	232.843355077229	48762	Epidemic intelligence national data		2022-05-29
Guam	GUM	Oceania	168783	deaths	0.0	2022-20	23.6990692190564	361	Epidemic intelligence national data		2022-05-29
Guatemala	GTM	America	17915567	cases	3985.0	2022-20	39.2061272746768	856576	Epidemic intelligence national data		2022-05-29
Guatemala	GTM	America	17915567	deaths	140.0	2022-20	14.847422914385	17969	Epidemic intelligence national data		2022-05-29
Guernsey	GGY	Europe	64468	cases	258.0	2022-20	769.373952968915	25328	Epidemic intelligence national data		2022-05-29
Guernsey	GGY	Europe	64468	deaths	2.0	2022-20	31.0231432648756	47	Epidemic intelligence national data		2022-05-29
Guinea	GIN	Africa	13132792	cases	64.0	2022-20	0.852827030230891	36661	Epidemic intelligence national data		2022-05-29
Guinea	GIN	Africa	13132792	deaths	0.0	2022-20	0.0	442	Epidemic intelligence national data		2022-05-29
